Id,Predicted
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,1
503,0
504,1
505,1
506,1
507,0
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,1
530,0
531,0
